,SB,DT,DB,ASP,TC,LT,VB,PC,GB,PC_S1,SB_M1,ASP_S1,ASP_S2,ASP_S3
Den1,0.3158660844250364,0.2219690063810392,0.4573205200678349,0.4871794871794871,0.2807646356033453,0.190031152647975,0.4069529652351738,0.3764853033145716,0.1388888888888889,528.0,10.7974377078437,2795.9953939116003,483.0417671885068,73.62009599999999
Cpr49Ac,0.1198447355652595,2.019598906107566,0.0412662521198417,0.0329670329670329,0.091995221027479,1.9158878504672896,0.0490797546012269,0.08130081300813,10.34722222222222,176.25,13.85322963568615,26851.474955134003,440.2191789303658,1089.03445625
CG8520,0.1130519165453663,0.0551504102096627,0.1526286037309214,0.0989010989010989,0.1015531660692951,0.0467289719626168,0.1820040899795501,0.1525953721075672,0.0555555555555555,383.75,9.85544918719793,1916.1776191096635,266.17610485324525,37.850015
CG8545,0.1373119844735565,0.1043755697356426,0.143583945732052,0.1062271062271062,0.1146953405017921,0.0560747663551401,0.2678936605316973,0.1782363977485928,0.0277777777777777,223.5,12.36348907527575,10898.307036396363,1584.6035259487774,77.901371
ClC-b,0.1290635613779718,0.0865998176845943,0.1848501978518937,0.1391941391941392,0.1242532855436081,0.1246105919003115,0.1554192229038855,0.2226391494684177,0.4166666666666667,216.75,10.39331236626815,3857.9639956768665,605.1491089663723,39.00887525
muskelin,0.0174672489082969,0.0086599817684594,0.0243075183719615,0.0183150183150183,0.017921146953405,0.0218068535825545,0.032719836400818,0.0387742338961851,0.125,254.0,8.27790298086169,1389.5078125737102,299.61180126147764,16.917373750000003
Iswi,0.1470160116448326,0.117137648131267,0.1707179197286602,0.1465201465201465,0.1039426523297491,0.1183800623052959,0.16359918200409,0.1657285803627267,0.0416666666666666,239.75,11.1461158324412,8468.489029447303,1134.4805054683768,61.51123125000001
Dgkepsilon,0.1455604075691411,0.0948040109389243,0.2289429055963821,0.1098901098901098,0.1087216248506571,0.1526479750778816,0.2147239263803681,0.2245153220762976,0.2083333333333333,521.75,10.71872776250725,3658.711858710936,736.9197531325295,77.7632245
SCCRO3,0.1096555070354197,0.0756608933454876,0.1384963256076879,0.0952380952380952,0.08363201911589,0.1526479750778816,0.1165644171779141,0.1419637273295809,0.2638888888888889,644.0,9.66316465001614,2847.1333102938934,629.7500611738337,57.08754275
CG4679,0.0557981562348374,0.0223336371923427,0.0633126059920859,0.0622710622710622,0.038231780167264,0.0529595015576324,0.0961145194274028,0.1106941838649155,0.0277777777777777,340.75,10.010049503487704,1922.3645002161863,474.8099047078423,38.47330025
fand,0.0786026200873362,0.0587967183226982,0.1339739966082532,0.0842490842490842,0.062126642771804,0.0965732087227414,0.1186094069529652,0.1200750469043152,0.0694444444444444,290.0,10.487623713723,4691.234434586267,550.0130869820082,43.298132
mam,0.3163512857836001,0.3755697356426618,0.4431882419446015,0.1245421245421245,0.3130227001194743,0.8099688473520249,0.4294478527607362,0.267667292057536,1.625,188.5,7.438356345169875,1866.2177308895295,282.005670893982,6.8674255
CG8468,0.1644832605531295,0.1020966271649954,0.1124929338609383,0.0769230769230769,0.1612903225806451,0.1651090342679127,0.1492842535787321,0.0587867417135709,1.25,208.5,11.8776575222432,7220.2540052573395,1513.30610129718,57.6733335
CG8531,0.2479378942261038,0.1321786690975387,0.2611644997173544,0.304029304029304,0.1505376344086021,0.0996884735202492,0.3026584867075664,0.2720450281425891,0.0416666666666666,899.0,11.022393113862702,5745.008506384601,1322.1975681302,109.742996
conv,0.2896652110625909,0.1271649954421148,0.215375918598078,0.2344322344322344,0.1875746714456392,0.1619937694704049,0.1881390593047034,0.2701688555347092,0.5972222222222222,227.5,10.1057763180707,4224.86876701736,266.4330931148505,24.1470305
LamC,0.6108685104318292,0.0660893345487693,0.4205765969474279,0.2161172161172161,0.3261648745519713,0.1246105919003115,0.3394683026584867,0.2851782363977486,0.1527777777777778,446.75,12.5526562879586,5608.035041310684,2076.413548780606,62.50397425
CG10209,0.0465793304221251,0.0291704649042844,0.0678349349915206,0.0659340659340659,0.034647550776583,0.0560747663551401,0.0368098159509202,0.0625390869293308,0.0416666666666666,306.25,9.717445884880746,1526.4842117236467,501.3305901709955,30.701794250000003
Pcf11,0.2886948083454633,0.2452142206016408,0.4115319389485585,0.3003663003663003,0.2735961768219833,0.3551401869158878,0.32719836400818,0.3921200750469043,0.5138888888888888,217.5,10.211888005787351,4395.379737169216,409.18188355730376,38.69880275
CG7639,0.0431829209121785,0.0341841385597082,0.0723572639909553,0.0439560439560439,0.027479091995221,0.0249221183800623,0.0449897750511247,0.0875547217010631,0.0,267.75,9.498739799640031,2022.2604141488569,364.9573036524922,40.264750500000005
CG8089,0.0431829209121785,0.0241567912488605,0.045223289994347,0.0512820512820512,0.03584229390681,0.0186915887850467,0.0552147239263803,0.0969355847404628,0.0138888888888888,166.0,8.85567621799134,673.8659803659726,100.46791516411533,13.465462
row,0.1892285298398835,0.1563354603463992,0.29055963821368,0.1978021978021978,0.1636798088410991,0.1744548286604361,0.2515337423312883,0.2795497185741088,0.125,541.5,9.70380641233048,15496.2311175605,1617.112001219307,111.289524
CG8152,0.0262008733624454,0.0173199635369188,0.0316563029960429,0.0402930402930402,0.013142174432497,0.0249221183800623,0.0347648261758691,0.048780487804878,0.0277777777777777,220.0,8.05480927421154,444.5970970303047,80.07466749841477,12.50117175
Cdk5,0.0907326540514313,0.0651777575205104,0.1673261729790842,0.0842490842490842,0.045400238948626,0.1308411214953271,0.1267893660531697,0.1894934333958724,0.1388888888888889,479.0,8.895664489698369,2029.7858588953504,416.4149978258655,50.265729
fus,0.705482775351771,0.2461257976298997,0.4957603165630299,4.106227106227106,0.7789725209080047,0.4735202492211838,0.3803680981595092,0.4171357098186366,0.1805555555555555,165.25,9.483724941984566,5333.92990794034,484.9609398214228,19.5786675
Zasp52,0.1018922852983988,0.3783044667274384,0.2023742227247032,0.3626373626373626,0.2341696535244922,1.442367601246106,0.294478527607362,1.4040025015634772,3.6944444444444446,410.25,11.33507651371775,2908.8456314102696,285.6127397891305,14.60983225
Rrp42,0.0393013100436681,0.0364630811303555,0.0429621254946297,0.0402930402930402,0.031063321385902,0.0218068535825545,0.1022494887525562,0.0550343964978111,0.0138888888888888,233.75,11.4877800589821,2089.309510710397,408.3855288340965,74.798
