"","X25.C.1","X25.C.2","X25.C.3","X25.C.4"
"CG9192",24.8501137294902,82.2376871130595,75.2140942796848,0
"CG9194",0,0,0,0
"CG9205",616.551470369513,525.706336311521,740.368301953072,512.708773863669
"CG9213",407.676190102717,212.895694675864,238.722994887695,217.775034749407
"CG9215",265.963379375084,186.764093163303,293.007949889555,258.157160398303
"CG9220",1235.78943952059,598.721105243676,1021.60361099885,705.966089469103
"CG9222",6.71624695391627,0,0,5.04776570611207
"CG9231",352.602965080604,379.676798447209,283.197415853074,225.707238001868
"CG9240",402.974817234976,591.035340092923,341.406584469526,299.260395433787
"CG9246",925.498830249662,782.410892346678,861.364888402999,1067.24189214941
"CG9248",1103.47937452844,1006.0666582336,954.891979550781,937.44220256367
"CG9253",853.634987842757,661.744379479853,463.057206521886,619.43296307861
"CG9254",75.8935905792538,21.520142422109,0,19.4699534378608
"CG9263",0,19.9829893919584,0,0
"CG9265",53.0583509359385,52.2632030251219,35.3179225313303,33.1710317830222
"CG9270",0,18.4458363618077,0,0
"CG9272",284.76887084605,212.127118160789,270.116703804433,241.571644506792
"CG9279",4.02974817234976,10.7600712110545,32.7017801216021,0
"CG9281",2080.02168162787,2878.31904895708,1973.22541253747,2479.17407108761
"CG9286",826.098375331701,657.132920389401,735.790052736047,778.077028127846
"CG9297",0,0,0,29.565484850085
"CG9300",542.001129181043,737.064877957234,438.203853629468,806.921403591344
"CG9302",1466.15671003992,1388.81776274111,901.915095753786,1543.17408729712
"CG9304",417.750560533592,564.903738580362,533.693051584546,413.91678790119
"CG9312",83.2814622285617,98.3777939296413,33.3558157240341,90.1386733234298
"CG9314",53.7299756313301,36.1230962085402,0,0
"CG9328",200.144159226705,106.063559080395,113.802194823175,103.839751668591
"CG9330",989.974801007258,1056.02413171349,714.860913458222,1003.78426612971
"CG9331",379.467952896269,1144.41043094716,735.136017133615,522.083195889306
"CG9336",302.231112926232,2231.17762326366,1081.7748864226,775.192590581497
"CG9338",19.4771161663572,24.5944484824103,23.5452816875535,53.3620946074705
"CG9344",744.831787189314,752.436408258741,839.12767792031,717.503839654502
"CG9346",496.330649894412,233.647260582898,122.304657654792,506.939898770969
"CG9356",262.605255898126,305.893452999978,332.904121637909,393.725725076742
"CG9372",533.941632836343,1827.67495284912,1502.3197787864,1141.51615896792
"CG9380",8.05949634469952,83.0062636281348,47.090563375107,52.640985220883
"CG9384",238.426766864027,660.975802964777,595.172398213158,579.771946816301
"CG9386",291.485117799966,154.48387953014,306.742697540628,100.955314122241
"CG9389",0,0,0.654035602432042,20.1910628244483
"CG9391",182.010292451131,242.870178763802,138.001512113161,196.862862538371
"CG9393",380.139577591661,256.704556035158,106.607803196423,550.927571352803
"CG9395",14.7757432986158,6.9171886356779,0,0
"CG9399",41.6407311142809,109.906441655771,130.807120486408,99.5130953490665
"CG9406",2.01487408617488,0,0,5.04776570611207
"CG9410",154.473679940074,125.277971957278,136.039405305865,67.7842823392192
"CG9416",3294.99075559132,1359.61185516825,1326.38420173218,2114.29272147437
"CG9422",639.386710012829,538.003560552726,431.009462002716,493.238820425808
"CG9425",513.792891974594,395.048328748716,570.319045320741,330.268099057047
"CG9426",745.503411884706,336.636513602991,416.620678749211,668.468401366556
"CG9427",72.5354671022957,144.492384834161,183.784004283404,139.174111611376
"CG9436",241.784890340986,433.477154502482,212.561570790414,355.506927587607
