"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","diff.pct","gene"
"Irp-1B",3.35763181628486e-06,0.449083782256059,0.475,0.345,0.037494674492453,0.13,"Irp-1B"
"pan",3.38610168688106e-06,0.677934196126578,0.262,0.161,0.0378125975374008,0.101,"pan"
"SCAR",3.64194556372189e-06,0.628090013958596,0.314,0.206,0.0406696061100824,0.108,"SCAR"
"Usp10",3.69099228707428e-06,0.545490597242378,0.397,0.283,0.0412173108697585,0.114,"Usp10"
"xio",3.7048627970911e-06,0.605244980162551,0.292,0.184,0.0413722028551163,0.108,"xio"
"CIAPIN1",4.00065583226226e-06,-0.677647422307838,0.221,0.333,0.0446753236788727,-0.112,"CIAPIN1"
"CG33941",4.08655607111702e-06,-0.926905490833768,0.123,0.224,0.0456345716461637,-0.101,"CG33941"
"lsn",4.09299017718388e-06,-0.802362349726474,0.181,0.286,0.0457064213086124,-0.105,"lsn"
"CG4968",4.37486722499064e-06,-0.692058675066936,0.221,0.331,0.0488541423014705,-0.11,"CG4968"
"CG10465",4.50152406905803e-06,-0.864084274547912,0.145,0.248,0.050268519279171,-0.103,"CG10465"
"Dhc64C",4.91946784885035e-06,0.420653378513997,0.551,0.44,0.0549356974681119,0.111,"Dhc64C"
"CG17202",4.9906656806964e-06,0.423177448540211,0.507,0.382,0.0557307636563367,0.125,"CG17202"
"CG2846",5.14743730043786e-06,-0.756409451734295,0.199,0.303,0.0574814323339895,-0.104,"CG2846"
"CG15098",5.81648024079915e-06,-0.428965510051712,0.422,0.526,0.0649526348490041,-0.104,"CG15098"
"CysRS",6.44046857777737e-06,0.625974220077497,0.289,0.186,0.0719207126080398,0.103,"CysRS"
"Ufd4",6.63171562591089e-06,0.521067268208775,0.355,0.24,0.0740563683945469,0.115,"Ufd4"
"crc",6.71452015334754e-06,-0.438236617032631,0.417,0.522,0.074981046552432,-0.105,"crc"
"DIP1",7.94311557495366e-06,0.583748028097382,0.316,0.21,0.0887007716255075,0.106,"DIP1"
"Hsp60A",8.08937892248782e-06,0.463277852621487,0.434,0.311,0.0903340944274215,0.123,"Hsp60A"
"ari-1",9.00572010686753e-06,0.601728877897428,0.287,0.184,0.10056687643339,0.103,"ari-1"
"CG8031",9.45909563090791e-06,-0.612190124071696,0.24,0.348,0.105629720910349,-0.108,"CG8031"
"CG7611",1.0112690019996e-05,0.591674885291796,0.272,0.171,0.112928409453295,0.101,"CG7611"
"Sox14",1.08594812682533e-05,0.440780575717443,0.412,0.288,0.121267827322585,0.124,"Sox14"
"Pmm2",1.09012705213652e-05,-0.663688094837134,0.211,0.316,0.121734487912085,-0.105,"Pmm2"
"CG15083",1.1240130805983e-05,0.497417880929528,0.387,0.278,0.125518540710412,0.109,"CG15083"
"CG6610",1.38298591132754e-05,0.520523946159435,0.333,0.225,0.154438036717946,0.108,"CG6610"
"rt",1.52473864337333e-05,0.53162771399498,0.314,0.208,0.1702675643055,0.106,"rt"
"CG4972",1.56573687026966e-05,0.431630260465067,0.441,0.321,0.174845836303013,0.12,"CG4972"
"AIMP3",1.62235201697651e-05,-0.516394832011753,0.321,0.422,0.181168049735767,-0.101,"AIMP3"
"Ssb-c31a",1.62536199539173e-05,-0.693825104393944,0.208,0.31,0.181504174025394,-0.102,"Ssb-c31a"
"bbc",1.73449989011085e-05,0.563459045566344,0.297,0.194,0.193691602728679,0.103,"bbc"
"LSm7",1.75941256753643e-05,0.530731279618941,0.311,0.206,0.196473601416794,0.105,"LSm7"
"lilli",1.77060572008386e-05,0.501017678024594,0.355,0.247,0.197723540761764,0.108,"lilli"
"CG7461",3.41156290604972e-05,-0.504808512520372,0.306,0.408,0.380969229718573,-0.102,"CG7461"
"CG1440",3.54463557367057e-05,0.402950902271092,0.456,0.34,0.395829454511792,0.116,"CG1440"
"CG17776",3.66711461885914e-05,0.478056479885726,0.373,0.268,0.409506689488,0.105,"CG17776"
"Klc",3.70220888085119e-05,0.402995082633232,0.451,0.333,0.413425665724652,0.118,"Klc"
"CG7945",4.74045082214307e-05,0.408422936084504,0.461,0.348,0.529366143308717,0.113,"CG7945"
"Nedd4",4.78341770129429e-05,0.4383802183712,0.409,0.303,0.534164254703533,0.106,"Nedd4"
"CG11370",4.84885074780746e-05,0.465207085503459,0.336,0.229,0.541471163007659,0.107,"CG11370"
"Cht7",4.93553904790179e-05,0.414452108700704,0.439,0.325,0.551151645479193,0.114,"Cht7"
"Nup153",5.09600951818137e-05,0.449042679606627,0.348,0.241,0.569071382895314,0.107,"Nup153"
"mRpS14",5.51473603050616e-05,0.463594095877538,0.37,0.266,0.615830572526623,0.104,"mRpS14"
"Vang",6.0653848017658e-05,0.451788789163547,0.363,0.257,0.677321520813187,0.106,"Vang"
"CG3529",6.09730360195286e-05,0.479275852155843,0.343,0.242,0.680885893230076,0.101,"CG3529"
"CG3226",6.4855421330285e-05,0.459018806538476,0.39,0.285,0.724240489995292,0.105,"CG3226"
"SppL",7.76852970468357e-05,0.444470351246499,0.382,0.278,0.867511712122014,0.104,"SppL"
"Psi",9.34777532592211e-05,0.405553351326713,0.429,0.325,1,0.104,"Psi"
