"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Sirup",1.30997372852996e-107,0.536307582066893,0.663,0.249,1.46284766264941e-103,"VB","Sirup"
"Spn43Aa1",5.88739052983545e-107,0.527217540423355,0.998,0.808,6.57444900466725e-103,"VB","Spn43Aa"
"obst-B1",5.1453369237002e-104,0.549690796086979,0.971,0.625,5.74579774269601e-100,"VB","obst-B"
"rgn1",1.4989839352609e-95,0.514766440831704,0.734,0.321,1.67391536050584e-91,"VB","rgn"
"AANAT1",0,1.07055277576312,0.701,0.077,0,"LT","AANAT1"
"Nplp4",0,0.877025507898137,0.595,0.028,0,"LT","Nplp4"
"CG2444",0,0.812342558971406,0.498,0.031,0,"LT","CG2444"
"CG12539",0,0.624032106273514,0.389,0.012,0,"LT","CG12539"
"CG14356",8.09796727948488e-285,0.617148142381449,0.386,0.021,9.04300006100076e-281,"LT","CG14356"
"CG7888",3.03238744463997e-257,0.809555396141445,0.492,0.045,3.38626705942946e-253,"LT","CG7888"
"Abd-B",8.48987338636277e-200,0.698653738925379,0.458,0.05,9.4806416105513e-196,"LT","Abd-B"
"Idgf4",3.17293687918189e-181,1.14640360661758,0.807,0.213,3.54321861298242e-177,"LT","Idgf4"
"csw",3.25900697594142e-179,0.982991289206324,0.707,0.163,3.63933309003378e-175,"LT","csw"
"Ddc",1.7212091690428e-170,0.597463169813952,0.417,0.049,1.9220742790701e-166,"LT","Ddc"
"Nep2",1.1450871273302e-160,1.34732960598645,0.872,0.376,1.27871879508964e-156,"LT","Nep2"
"CG35021",1.39697189940518e-157,0.558321758178744,0.505,0.078,1.55999852006577e-153,"LT","CG3502"
"bnl",1.72685122918246e-157,0.755478828242343,0.533,0.091,1.92837476762805e-153,"LT","bnl"
"yellow-c",7.03623763080473e-153,0.871555761991421,0.523,0.095,7.85736656231965e-149,"LT","yellow-c"
"PH4alphaEFB",3.96369766059192e-150,0.76058958153501,0.564,0.109,4.426261177583e-146,"LT","PH4alphaEFB"
"CG12991",1.55873038571751e-140,0.681867110702835,0.561,0.113,1.74063422173074e-136,"LT","CG12991"
"Prip",5.86805980865412e-138,0.643222437623695,0.505,0.092,6.55286238832405e-134,"LT","Prip"
"l(2)k059111",4.41339939329369e-134,0.831785676567767,0.642,0.165,4.92844310249106e-130,"LT","l(2)k05911"
"Mmp1",1.01036350375302e-132,0.979769009971352,0.978,0.765,1.12827292464099e-128,"LT","Mmp1"
"CG153531",2.51326459434533e-132,1.13470129358014,0.984,0.846,2.80656257250543e-128,"LT","CG15353"
"abd-A",3.77106412451374e-125,0.540009854589151,0.427,0.069,4.21114730784449e-121,"LT","abd-A"
"wtrw",5.95847277844668e-125,0.512539106875408,0.439,0.075,6.65382655169141e-121,"LT","wtrw"
"l(2)34Fc1",4.23384038775264e-124,0.786946501047222,0.62,0.148,4.72792956100338e-120,"LT","l(2)34Fc"
"wun2",6.69590161463331e-122,0.526349724970947,0.424,0.071,7.47731333306102e-118,"LT","wun2"
"b",9.25630871217274e-118,0.599464578219571,0.396,0.063,1.03365199388833e-113,"LT","b"
"cer",3.63486947014231e-111,0.792108782256451,0.972,0.679,4.05905873730792e-107,"LT","cer"
"CG9691",8.35818901419005e-92,0.806901714905639,0.9,0.523,9.33358967214603e-88,"LT","CG9691"
"rhea",7.47882571040957e-89,0.557637916386792,0.601,0.192,8.35160467081436e-85,"LT","rhea"
"Lmpt",6.71093702877036e-86,0.510545182533129,0.442,0.107,7.49410338002786e-82,"LT","Lmpt"
"Spn100A2",5.81329004903623e-82,0.850511026060839,0.85,0.537,6.49170099775876e-78,"LT","Spn100A"
"cdi",1.93868123141551e-79,0.716529758105091,0.692,0.324,2.16492533112169e-75,"LT","cdi"
