,source,target,coef_mean,coef_abs,p,-logp
16670,E5,E(spl)malpha-BFM,0.12881698,0.12881698,3.608889769565304e-15,14.442626382889406
16671,Antp,E(spl)malpha-BFM,0.031236475,0.031236475,0.0009446706390481731,3.02471958257702
16672,Dfd,E(spl)malpha-BFM,-0.013095443,0.013095443,1.054433778556808e-06,5.976980689997928
16673,Atf3,E(spl)malpha-BFM,0.05247182,0.05247182,5.044921002216255e-10,9.297145629936521
16674,dve,E(spl)malpha-BFM,0.04621285,0.04621285,8.435537299804003e-08,7.073887249896625
16675,E(spl)m7-HLH,E(spl)mbeta-HLH,0.11680223,0.11680223,2.613245064885289e-16,15.5828198610967
16676,h,E(spl)mbeta-HLH,0.082886495,0.082886495,7.14504886898602e-13,12.145994796479956
16677,sens,E(spl)mbeta-HLH,0.009577392,0.009577392,0.027504500187167893,1.560596242658488
16678,cad,E(spl)mbeta-HLH,0.0011357447,0.0011357447,0.0019962705862348754,2.699780592234996
16679,RunxA,E(spl)mbeta-HLH,0.003364589,0.003364589,3.9458991513261876e-09,8.403854018572483
16680,Hand,E(spl)mbeta-HLH,0.0043534325,0.0043534325,0.01549062275453843,1.8099311223684216
16681,odd,E(spl)mbeta-HLH,0.02107982,0.02107982,2.945936916288187e-05,4.530776557290154
16682,Abd-B,E(spl)mbeta-HLH,0.015783526,0.015783526,0.008078362092347071,2.0926766845673743
16683,fd19B,E(spl)mbeta-HLH,-0.005811355,0.005811355,3.9611956328522093e-10,9.402173708423748
16684,gsb,E(spl)mbeta-HLH,0.012494657,0.012494657,7.990404727345189e-09,8.097431222388002
16685,cad,E(spl)mdelta-HLH,-0.00037310243,0.00037310243,3.382078076708523e-26,25.470816370750022
16686,bs,E(spl)mgamma-HLH,-0.0012903861,0.0012903861,0.020146083104746564,1.6958093788702948
16687,Eip74EF,E(spl)mgamma-HLH,0.004955646,0.004955646,2.0905298187951322e-15,14.679743633401381
16688,CG10654,E(spl)mgamma-HLH,6.843153e-05,6.843153e-05,0.8098473019833119,0.09159686032831063
16689,CG12769,E(spl)mgamma-HLH,0.0009528435,0.0009528435,0.3124727205734454,0.5051878913488741
16690,erm,E(spl)mgamma-HLH,0.0,0.0,,-0.0
