"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"RpL40",5533.79955344928,0.18345506102653,0.164251476759089,1.11691574801246,0.264030350556296,0.755707844974017
"lncRNA:CR44608",7.19303877725187,-0.464591139978798,3.76062118869051,-0.123541063209446,0.901678659582921,0.981106460997507
"tutl",10.7042540427626,-6.17639598615947,3.91046091908218,-1.57945472770742,0.114231792865419,0.587812744832802
"Atet",1.79863438232925,-0.555943571679219,3.86597305765785,-0.143804305769278,0.885655002707388,0.978829895914175
"Traf4",89.6562941127703,1.02586247961101,1.26787865152769,0.809117243495601,0.41844771063368,0.874852609090674
"CG17612",157.238778885325,0.267206020609355,1.53187075923265,0.174431177694915,0.861526613632441,0.976005701866776
"Vps53",55.8001943699276,-0.457252983099287,1.84775241867538,-0.247464421357427,0.804548822988552,0.976005701866776
"Psf2",123.040246653492,0.330308261714685,0.918009436275454,0.359809222718681,0.718989805759945,0.968839657547241
"Tps1",12.6974885911069,-0.747710692393644,3.22423951889105,-0.231902961306923,0.816613384433626,0.976005701866776
"CG3652",1021.16783212658,-0.103065215745503,0.319346609518055,-0.322737779809359,0.746893837755609,0.974091372239242
"l(2)k05819",143.014647375869,0.929183450722011,1.34049376681535,0.693165066279642,0.488205968421789,0.907818123359227
"Dim1",310.632406291851,0.137555452825095,0.605078350437465,0.227334943855856,0.820163303072821,0.976005701866776
"CG15431",44.4554192398115,-0.647218531370695,2.85021596242913,-0.227077014479666,NA,NA
"CG15432",124.262402375948,-0.346928088522571,0.905812434129733,-0.383002126544979,0.70171818733252,0.964647442764688
"morgue",227.362863202791,-0.00521564736674377,0.819025187572657,-0.006368115957705,0.994919012937429,0.998511704756135
"Elp3",505.791352973389,0.024254946634856,0.451667745473746,0.0537008605948061,0.957173497137552,0.990024714388302
"MFS18",962.042945113652,-0.295560956386156,0.556634610354523,-0.530978402866311,0.595433745366459,0.936851072875411
"CG15439",108.075355925377,2.0916465436991,2.4535890063911,0.852484478146414,0.393945250402325,0.862716327651946
"CG15440",235.14884413778,-0.61046385709568,0.748958654728782,-0.815083520620702,0.415024503867027,0.873842177784958
"Gs1l",213.525258162657,-1.37936992755233,0.726772463087287,-1.89793917300175,0.0577040952916327,0.471199653262839
"RpL27A",8096.58437269362,-0.336132927285566,0.204297706470212,-1.64530935316485,0.0999060319972936,0.562161056401257
"mRpL27",677.620199775169,-0.167338457884846,0.447088158676617,-0.374285148549156,0.708192180180834,0.967000230190164
"CG15435",262.091974169254,0.347333298708395,1.43477059915727,0.242082810250228,0.808715997550458,0.976005701866776
"CG15443",130.634667084383,-1.42317603927361,1.24415705948952,-1.14388776595259,0.252670185334717,0.745759177950977
"CG15436",101.904408361185,0.369366739306892,1.63617859007866,0.22574964710248,0.821396141848787,0.976005701866776
"FIG4",190.628077097276,11.1386967668576,1.49762898564394,7.43755420977535,1.02566498899432e-13,3.33330355434914e-10
"dpy",1647.50378971113,0.762039703829619,0.359808096151944,2.11790593924772,0.0341830345184634,0.370490772454989
